data_num,MQ7,MQ2,MQ4,MQ5,MQ5,MQ3,Label
361,133,61,97,84,87,107,2
362,132,59,97,84,85,107,2
363,133,61,96,88,86,105,2
364,133,59,96,84,86,107,2
365,132,58,95,84,87,106,2
366,133,57,96,84,87,108,2
367,133,59,96,84,86,108,2
368,133,59,96,84,86,108,2
369,133,57,96,84,87,108,2
370,133,60,95,84,87,108,2
371,134,59,96,81,86,109,2
372,134,59,96,84,86,109,2
373,133,59,96,84,87,109,2
374,134,58,96,84,87,109,2
375,134,61,96,84,87,109,2
376,135,59,95,83,86,109,2
377,134,60,97,84,85,110,2
378,135,59,95,84,86,110,2
379,135,59,96,84,87,110,2
380,134,58,96,84,87,111,2
381,135,59,96,84,87,110,2
382,135,60,96,84,86,112,2
383,135,59,95,84,86,112,2
384,135,60,96,84,86,111,2
385,135,59,96,84,85,112,2
386,136,59,96,84,86,112,2
387,136,60,96,84,86,113,2
388,136,60,96,84,87,112,2
389,136,60,98,83,87,112,2
390,136,61,96,86,87,113,2
391,136,60,95,84,86,112,2
392,137,59,96,84,85,112,2
393,137,60,96,84,86,113,2
394,137,60,96,84,87,112,2
395,136,60,96,85,87,114,2
396,137,60,95,84,86,113,2
397,137,60,96,84,86,113,2
398,137,60,96,84,85,113,2
399,138,60,96,84,88,114,2
400,138,60,96,84,86,114,2
401,138,62,96,84,87,114,2
402,138,60,96,84,86,113,2
403,138,62,96,88,85,114,2
404,138,62,95,86,87,114,2
405,140,60,96,84,86,116,2
406,139,60,96,84,86,114,2
407,139,60,97,83,87,114,2
408,138,61,96,80,85,114,2
409,139,60,95,84,87,114,2
410,139,60,96,84,86,116,2
411,139,63,95,85,86,116,2
412,139,60,98,83,87,115,2
413,138,60,94,84,86,115,2
414,139,61,96,84,88,115,2
415,141,60,96,84,86,115,2
416,139,63,96,85,86,116,2
417,139,60,95,84,86,116,2
418,139,60,96,85,86,116,2
419,138,61,96,84,87,116,2
420,139,60,96,84,87,116,2
421,138,64,96,84,86,116,2
422,139,61,97,84,88,115,2
423,139,61,96,84,85,116,2
424,139,61,95,85,86,116,2
425,139,60,96,84,86,116,2
426,139,61,96,84,85,117,2
427,139,61,96,84,87,116,2
428,139,60,100,84,87,119,2
429,139,61,95,84,87,117,2
430,140,59,96,84,86,117,2
431,140,61,96,83,87,117,2
432,140,64,95,88,87,117,2
433,140,63,96,86,87,118,2
434,140,61,96,84,86,117,2
435,140,61,96,84,86,117,2
436,141,61,96,85,86,118,2
437,141,60,97,84,86,117,2
438,140,63,95,87,83,118,2
439,141,64,95,84,87,117,2
440,140,61,96,84,86,119,2
441,141,61,96,85,87,118,2
442,141,62,98,83,87,118,2
443,141,62,96,84,85,118,2
444,141,62,95,85,87,118,2
445,141,61,96,89,86,119,2
446,141,64,96,84,87,119,2
447,142,62,98,85,88,118,2
448,141,62,96,84,85,119,2
449,141,61,95,84,87,118,2
450,141,61,96,84,87,120,2
451,142,62,96,85,85,119,2
452,142,62,98,83,87,120,2
453,142,62,96,85,86,120,2
454,141,61,96,85,87,120,2
455,142,61,100,85,87,120,2
456,142,62,96,84,86,120,2
457,142,62,96,84,87,119,2
458,142,64,95,86,87,119,2
459,142,62,99,83,87,119,2
460,142,62,96,84,87,120,2
461,142,62,95,84,87,119,2
462,142,61,96,87,87,120,2
463,142,63,96,85,86,120,2
464,143,62,98,83,88,120,2
465,142,62,96,85,87,120,2
466,142,62,95,84,87,118,2
467,143,62,96,84,87,120,2
468,143,64,96,86,87,120,2
469,143,62,96,84,90,119,2
470,142,63,96,86,87,121,2
471,142,62,96,85,86,120,2
472,144,62,98,83,87,119,2
473,143,63,96,85,85,120,2
474,143,62,95,84,87,118,2
475,143,63,96,85,87,122,2
476,143,63,96,84,86,120,2
477,143,62,96,84,87,119,2
478,143,64,96,86,87,120,2
479,144,63,98,85,88,120,2
480,143,62,97,85,87,120,2
481,144,62,96,85,87,120,2
482,144,63,98,83,86,120,2
483,144,63,96,84,89,120,2
484,144,63,96,85,88,119,2
485,144,62,97,84,86,120,2
486,144,64,96,85,86,119,2
487,144,63,96,85,86,120,2
488,144,63,94,85,86,120,2
489,144,63,97,85,88,120,2
490,144,62,96,87,86,120,2
491,144,62,97,85,87,120,2
492,144,63,96,85,86,120,2
493,144,63,97,85,86,120,2
494,144,63,97,85,88,119,2
495,144,62,96,85,86,119,2
496,144,63,96,85,85,120,2
497,144,63,98,85,88,120,2
498,144,64,96,85,86,120,2
499,144,63,93,85,87,120,2
500,144,62,97,84,87,119,2
501,144,65,96,86,87,119,2
502,144,64,96,85,87,120,2
503,144,63,96,85,87,120,2
504,144,64,97,85,87,120,2
505,145,64,97,84,86,119,2
506,144,64,96,87,87,121,2
507,145,64,92,85,86,120,2
508,145,63,96,84,87,120,2
509,145,64,95,85,87,119,2
510,144,64,96,84,87,119,2
511,145,63,96,85,87,121,2
512,144,64,96,85,87,120,2
513,145,64,97,84,87,120,2
514,145,65,96,87,86,120,2
515,144,64,97,85,87,121,2
516,145,64,96,84,86,121,2
517,144,64,96,85,87,120,2
518,145,64,96,84,87,119,2
519,145,64,96,85,86,121,2
520,145,66,98,85,92,120,2
521,145,63,97,85,87,121,2
522,145,64,96,85,87,120,2
523,147,63,97,83,86,120,2
524,147,64,96,85,86,121,2
525,145,64,96,85,86,121,2
526,145,64,97,85,87,121,2
527,145,64,96,85,87,121,2
528,146,64,99,85,87,121,2
529,145,63,96,85,87,121,2
530,145,61,98,85,87,120,2
531,145,64,97,85,85,121,2
532,146,64,97,85,86,122,2
533,145,64,97,84,87,122,2
534,145,66,96,85,86,121,2
535,145,64,96,84,87,120,2
536,145,64,96,86,87,123,2
537,145,64,96,85,87,122,2
